Issue Number,Title,Type,Functional Areas,Priority,Priority Score,Labels,URL
4820,"@Schema(example=&#34;1234&#34;, type=&#34;string&#34;) interpreted as integer",Other,Annotation Processing; Examples,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4820
4819,Definition for parent interface not generated,Other,Polymorphic Types; Annotation Processing; Validation; Jackson,High,4,,https://github.com/swagger-api/swagger-core/issues/4819
4813,Upgrade to v2.2.27: Cannot change dependencies of dependency configuration &#39;&#39; after it has been included in dependency resolution,Bug,Dependencies,Critical,5,"Bug, P1",https://github.com/swagger-api/swagger-core/issues/4813
4789,Classes / enums with same name but different package replace each other,Other,Other,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4789
4763,Explicit schema type specified on `@Parameter` annotation is always ignored,Other,Jakarta Migration; Annotation Processing; Validation; Dependencies,High,4,,https://github.com/swagger-api/swagger-core/issues/4763
4753,@Schema field-level description ignored when using custom type with $ref #2723,Other,Jakarta Migration; Annotation Processing; Validation; Examples,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4753
4711,@Schema is processed without enum when implementation and allowableValues exist at the same time,Other,Jakarta Migration; Annotation Processing; Validation,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4711
4696,Using @JsonUnwrapped with @Schema(implementation = Something) does not unwrap,Other,Annotation Processing; Jackson,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4696
4689,BUG Unable to deserialize OpenAPI Parameter,Other,Validation,High,4,,https://github.com/swagger-api/swagger-core/issues/4689
4682,BUG properties of type Object do not have any type information when generating open api 3.1.0,Bug,Examples; Jackson,High,4,"Bug, P2, pull-request-welcome, 3.1 spec support",https://github.com/swagger-api/swagger-core/issues/4682
4649,Generated but not references ResponseEntity*** type in schema if rest-api-class is using spring&#39;s ResponseEntity,Other,Jakarta Migration; Annotation Processing; Validation; Examples; Dependencies,Critical,5,,https://github.com/swagger-api/swagger-core/issues/4649
4555,Could `@Schema(nullable = true)` work when outputting OpenAPI 3.1.0?,Other,Annotation Processing; Validation,Critical,5,,https://github.com/swagger-api/swagger-core/issues/4555
4506,Jackson @JsonFormat doesn&#39;t support Enum type,Other,Jackson; Kotlin,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4506
4404,Add support for more java.time objects,Other,Other,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4404
4358,Incorrect mapping of sub-classes when nested as member of another sub-class,Other,Polymorphic Types; Annotation Processing; Examples,High,4,,https://github.com/swagger-api/swagger-core/issues/4358
4355,@ApiResponse cannot infer parametrised type with Java Generics ,Other,Annotation Processing,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4355
4352,Inconsistent behaviour for oneOf,Other,Polymorphic Types; Annotation Processing; Examples,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4352
4330,Missing oneOf sections for polymorphic schema,Other,Polymorphic Types; Annotation Processing,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4330
4244,Ignore JAX-RS method parameters with specific annotations,Other,Annotation Processing; Examples,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4244
4156,Sealed kotlin class with oneOf annotation generates a type: object,Other,Polymorphic Types; Annotation Processing; Jackson; Kotlin,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4156
4061,@Schema not working for boolean fields in Java,Other,Annotation Processing,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4061
3818,Maps that use enums as keys don&#39;t explicitly declare them in the resulting swagger def.,Other,Annotation Processing; Validation; Examples,Medium,3,,https://github.com/swagger-api/swagger-core/issues/3818
3689,@ArraySchema is ignored in model property (array of abstract class),Other,Polymorphic Types; Annotation Processing,Medium,3,,https://github.com/swagger-api/swagger-core/issues/3689
3677,How to prevent oneOf() on supertypes leading to recursion in subtypes?,Other,Polymorphic Types; Annotation Processing; Examples; Jackson,Medium,3,,https://github.com/swagger-api/swagger-core/issues/3677
3577,[bug] Integer enum support,Other,Other,Medium,3,,https://github.com/swagger-api/swagger-core/issues/3577
3567,Question: Is there a way to specify allowableValues dynamically?,Other,Polymorphic Types; Annotation Processing; Examples,Medium,3,,https://github.com/swagger-api/swagger-core/issues/3567
3556,Multiple SecurityRequirements annotations with AND condition,Other,Annotation Processing,Medium,3,,https://github.com/swagger-api/swagger-core/issues/3556
3530,Getting StackOverflowError on ModelResolver,Other,Annotation Processing,High,4,,https://github.com/swagger-api/swagger-core/issues/3530
3496,Swagger does not serializes Generic Objects in API response completely.,Other,Annotation Processing,Medium,3,,https://github.com/swagger-api/swagger-core/issues/3496
3411,Consider the @JsonSubTypes for generating the discriminator mapping,Feature,Polymorphic Types; Annotation Processing; Validation; Jackson; Dependencies,Low,2,"Feature, Workaround available, P2, :thumbsup: Top Issue!",https://github.com/swagger-api/swagger-core/issues/3411
3323,Generic Response Types,Feature,Annotation Processing; Validation; Examples,Low,2,Feature,https://github.com/swagger-api/swagger-core/issues/3323
3089,Can&#39;t reference javax.ws.rs.core.Response.Status enum in @ApiResponse.responseCode,Other,Annotation Processing,Medium,3,,https://github.com/swagger-api/swagger-core/issues/3089
3025,"openapi.json fails to take into account servlet context path, produces bad spec file",Other,Other,High,4,,https://github.com/swagger-api/swagger-core/issues/3025
2998,ApiImplicitParam and ApiImplicitParams for Swagger 2.X,Other,Annotation Processing,Medium,3,,https://github.com/swagger-api/swagger-core/issues/2998
2961,Field with first letter lower case not recognized,Other,Other,Medium,3,,https://github.com/swagger-api/swagger-core/issues/2961
2844,disable global security for particular operation,Other,Annotation Processing,Medium,3,,https://github.com/swagger-api/swagger-core/issues/2844
2192,Field name is getting generated wrongly if field type is &#34;Boolean&#34; (wrapper class for boolean) instead of primitive &#34;boolean&#34; type,Other,Other,Medium,3,,https://github.com/swagger-api/swagger-core/issues/2192
